,model,date,training_length,test_length,mae,msae,rho
14231,naive_model,258,5760,384,13.8296875,304.6888463541667,0.465126104226306
14232,xgboost,258,5760,960,21.142855850537615,828.0282093109784,0.7645537885587478
14233,elastic_net,258,5760,960,19.523839650795697,732.9711213253473,0.7369733235484929
14234,naive_model,258,5760,960,22.737020833333336,1247.0408258333334,0.4472083796954163
14235,xgboost,258,5760,2880,17.773469819943113,646.0231410888774,0.749527040924255
14236,elastic_net,258,5760,2880,19.621094848496902,741.2740338496338,0.7268929804058291
14237,naive_model,258,5760,2880,23.30722916666667,1303.3483988888888,0.533487579353197
14238,xgboost,258,8640,96,6.797905974388122,75.78354293676993,0.7886804740565511
14239,elastic_net,258,8640,96,10.71972546788633,167.14831994004365,0.6548855632347859
14240,naive_model,258,8640,96,9.770625,155.47442291666664,0.425962099332903
14241,xgboost,258,8640,192,12.352666234970094,318.23566822442484,0.8259182712644881
14242,elastic_net,258,8640,192,11.482502679542996,220.14962768796585,0.8236982606186403
14243,naive_model,258,8640,192,15.521197916666669,442.9232765625,0.6226964844321901
14244,xgboost,258,8640,384,12.386667240460715,270.0360575826192,0.8080620469812079
14245,elastic_net,258,8640,384,12.09446828097964,236.93626782290764,0.7886774464838123
14246,naive_model,258,8640,384,20.56375,649.114671875,0.4681628991439429
14247,xgboost,258,8640,960,11.929060327847798,276.90537132841735,0.7499626997740937
14248,elastic_net,258,8640,960,12.466951173544674,275.49617758885586,0.7770868918863799
14249,naive_model,258,8640,960,18.069177083333333,614.0795676041666,0.5536941022256375
14250,xgboost,259,2880,96,11.79990395863851,236.1753635737481,0.8287656483658564
14251,elastic_net,259,2880,96,9.253139936753586,185.4845616196193,0.8258629869830578
14252,naive_model,259,2880,96,8.672604166666666,129.33059270833334,0.8735086449261582
14253,xgboost,259,2880,192,13.193295108477274,326.43579533529265,0.7354096341937828
14254,elastic_net,259,2880,192,11.04026253709781,217.20176262234256,0.8246138143506251
